ID;origin;destination;nb_passengers;release_time;ready_time;due_time;legs
0126BB8F717CF88C4CDFC810EF4199FEB57FF319_98;41881;43900;1;28485;28785;31136;[(41881, 43900, 2793806)]
01381D75422C804DC9EAA658CCDEB8DA3C081200_99;42077;46423;1;23296;23596;24680;[(42077, 46423, 2790290)]
013CC22E3643F6F6C66BE0164CB1030C33F657A7_100;45030;42869;1;28748;29048;30406;[(45030, 42869, 2790778)]
013CC22E3643F6F6C66BE0164CB1030C33F657A7_101;42870;48150;1;36362;36662;38228;[(42870, 48150, 2791836)]
013D602E141CA1E6E53151DF6A674B811ADFEFE7_102;41008;41921;1;23845;24145;25013;[(41008, 41921, 2791666)]
01521EEE8F55E59389148BB46378D34955C52665_103;42224;46423;1;25347;25647;28640;[(42224, 46423, 2790570)]
01528CDAE11F93EE49EB534BDAB628B9B7E3D73F_104;43507;41990;1;59505;59805;62858;[(43507, 41990, 2792869)]
0152CCA7210C804BF391C758615C54B6A690D139_105;41288;42486;1;42685;42985;44028;[(41288, 42486, 2794621)]
016191920316B9FDB99D20017C5AA0713B7392F9_106;43093;43079;1;38127;38427;39088;[(43093, 43079, 2793467)]
0167E24F24D9246B5338589954D429D5C965F160_107;41341;41372;1;62231;62531;63694;[(41341, 41372, 2790640)]
01763ED6334AB16B6B2E8F98BD76D1B0A2348A2B_108;43183;41965;1;35820;36120;38726;[(43183, 42840, 2790124), (42840, 41965, 2791836)]
017ABCFD4A00B5C48DA25BDD2B9D0EF2359760E4_109;41869;41873;1;47253;47553;48202;[(41869, 41873, 2794614)]
017ABCFD4A00B5C48DA25BDD2B9D0EF2359760E4_110;42912;42996;1;58138;58438;59600;[(42912, 42996, 2794683)]
018E21D3A0635D64CE878194D0222DAB31C30263_111;42929;41498;1;66470;66770;68402;[(42929, 41498, 2791446)]
0190770D8BC74B0033BC408CEDA3C2B05987B948_112;42840;48150;1;51366;51666;52714;[(42840, 48150, 2794624)]
0190C7A0E6177E4097A5F079777D91B5A064FE9E_113;41382;42112;1;30648;30948;31986;[(41382, 42112, 2794585)]
01967D51C9E5EB98473B6C37481A3FD5C714ADAD_114;41808;47131;1;38056;38356;39298;[(41808, 47131, 2790979)]
019C254F6046D36EEBF4B9EC32D831B40DFF5CC3_115;41708;46424;1;59546;59846;62678;[(41708, 46424, 2792177)]
01A50B6DB2E51A7D9AAD12B2FD076E0B3D538053_116;47031;41080;1;63943;64243;66926;[(47031, 41080, 2794105)]
01AD7705A1C3FF97247ED5152FF3008A6AB15322_117;41155;41701;1;50020;50320;51334;[(41155, 41701, 2791400)]
01AD78C210294AC4FF7FAEF82BB5385EB6F838C7_118;41328;41322;1;29689;29989;30706;[(41328, 41322, 2791769)]
01B4DED1CA633999E37D15DA8E9AF644317E4838_119;42912;42957;1;25640;25940;27954;[(42912, 42957, 2793135)]
01C0B2DD00A55F8AF39B3FEA5F2CE7F683DD9B52_120;42527;42520;1;26711;27011;27692;[(42527, 42520, 2791823)]
01C0B2DD00A55F8AF39B3FEA5F2CE7F683DD9B52_121;41348;42528;1;55378;55678;56434;[(41348, 42528, 2792224)]
01C13836EF630CF36B31378353F35F0408942CED_122;41915;41124;1;21512;21812;22924;[(41915, 41124, 2790905)]
01C13836EF630CF36B31378353F35F0408942CED_123;41127;41917;1;54682;54982;56150;[(41127, 41917, 2789991)]
01C9804CD5D0353B87A176B2772B8E2F215291CC_124;46171;43507;1;16784;17084;18872;[(46171, 43507, 2794506)]
01CA45123AD325C84D90623CD3DA3B20E9800839_125;43105;41235;1;29603;29903;33988;[(43105, 43147, 2791045), (43147, 41235, 2791931)]
01CC9371CCE850D69B0E0D40467191CBC348D7C9_126;42109;41322;1;39879;40179;42038;[(42109, 41322, 2791869)]
01D4A7D53726CCD00BB7B2E2C8DCF658213A5ED2_127;41842;41798;1;26910;27210;27932;[(41842, 41798, 2790239)]
01DE7AF26CA81D6D5177E0A317C57BE84710C019_128;41369;42112;1;51158;51458;52620;[(41369, 42112, 2792047)]
01E8A2D0FEEB79683912FDA6EBC4932A906C8234_129;41326;41518;1;30042;30342;31874;[(41326, 41391, 2790600), (46186, 41518, 2791617)]
01E8A2D0FEEB79683912FDA6EBC4932A906C8234_130;41342;41325;1;42806;43106;44036;[(41342, 41325, 2791059)]
01E91A694E4459C25D2BD4BB5CAA01F82B589FB2_131;41855;47131;1;24341;24641;26256;[(41855, 47131, 2790975)]
01EB1F72086715804E8AAECE33221D5DA3C1BF3F_132;41395;41339;1;50294;50594;51492;[(41395, 41339, 2792047)]
